,ext_player_id
1081,dfitzgera
1082,dlinn
1083,dmcnally
1084,dbaird
1085,dbecker
1086,ddamiano
1087,dhenken
1088,dhughes1
1089,drooffene
1090,dsullivan
1091,dtravagli
1092,dkirkman
1093,dharris
1094,unknown17
1095,dbaker1
1096,dbest
1097,dburns
1098,ddeclerck
1099,delder
1100,dfreechil
1101,dhall
1102,dhawkins
1103,dlacombeb
1104,dlathammc
1105,dnice
1106,dpower
1107,dsmith1
1108,dtunnell
1109,dwelchman
1110,dwolff
1111,dzeringue
1112,djeng
1113,epinto
1114,efox
1115,emelo
1116,eyanosik
1117,efinley
1118,eharmoush
1119,emack
1120,epeters
1121,escott
1122,eun
1123,eguo
1124,ecramer
1125,elim1
1126,eartemaki
1127,efriedman
1128,egraves
1129,ejanin
1130,ekerns
1131,emock
1132,emotycka
1133,epark
1134,egriffin
1135,emalone
1136,ediamond
1137,egrady
1138,ehuber
1139,ejaime
1140,ekaroly
1141,elong
1142,esalmon
1143,ebemis
1144,eheloir
1145,eplanchin
1146,erim
1147,ehawkins
1148,erivera
1149,ebonnet
1150,edavis
1151,edeeds
1152,ehare
1153,elee
1154,emawby
1155,eperpich
1156,erivera1
1157,esakach
1158,etrotter
1159,ewarner
1160,erudder
1161,echartock
1162,eerickson
1163,eeve
1164,ejealous
1165,elamborn
1166,emoore
1167,erosenber
1168,ebilolo
1169,ekameri
1170,eshipway
1171,ewarner1
1172,eyoung
1173,ejoyce
1174,ealexande
1175,eblais
1176,eblanchar
1177,ebrinkman
1178,ebrodbeck
1179,ecarter
1180,eclarkson
1181,econverse
1182,ecooney
1183,ecrosbyle
1184,edion
1185,edixon
1186,ejohnson1
1187,eela
1188,egreenwoo
1189,eguindon
1190,ehillis
1191,ehuang
1192,ehubbard
1193,ehurd
1194,ehytonen
1195,ejohnson
1196,elewis
1197,elissner
1198,elu
1199,eminer
1200,enardelli
1201,eolson
1202,erathbun
1203,esjostrom
1204,estamant
1205,etaylor
1206,ewilliams
1207,ewitmer
1208,ewright
1209,eyoon
1210,ezarobili
1211,ebrown
1212,ephanglyn
1213,eatwell
1214,ehotaling
1215,ehunter
1216,elindberg
1217,eolsen
1218,eceballos
1219,ebeardsle
1220,ebloodwor
1221,ebolthous
1222,eburns
1223,edowns
1224,efalat
1225,efortin
1226,eholmgren
1227,eli
1228,elieman
1229,eniedzwie
1230,epeck
1231,epigeon
1232,epollack
